date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:49	87/87	---M-Z	200	added ('OK')	text/plain	etag:%22b2364cc8e401d4b903f4b9b5c57c7acc%22	https://aidy.framer.ai/robots.txt		(from )
21:10:50	888282/888282	---M-Z	200	added ('OK')	text/html	etag:%22da9073b7fb3ebd98f4b9d0ed568e3dcd%22	https://aidy.framer.ai/	G:/Offline%20Websites/aidy.framer.ai/aidy.framer.ai/index.html	(from )
21:10:51	1989/1989	---MC-	200	added ('OK')	image/png	etag:%22355837fa78a3e58dc3c4d5a1700a7f2b%22	https://framerusercontent.com/images/liM2QAdYDmSgXxIIiFNAchWrtA.png	G:/Offline%20Websites/aidy.framer.ai/framerusercontent.com/images/liM2QAdYDmSgXxIIiFNAchWrtA.png	(from https://aidy.framer.ai/)
21:10:52	111996/111996	---MC-	200	added ('OK')	image/png	etag:%22186882e70a9d8354024eb3bb3ecc78cc%22	https://framerusercontent.com/images/iXitVRZwpiMU168vcsrS8OEbg.png	G:/Offline%20Websites/aidy.framer.ai/framerusercontent.com/images/iXitVRZwpiMU168vcsrS8OEbg.png	(from https://aidy.framer.ai/)
21:10:54	859371/859371	---M-Z	200	added ('OK')	text/html	etag:%2270774662bde2172dc3ea5eb75db2f537%22	https://aidy.framer.ai/about	G:/Offline%20Websites/aidy.framer.ai/aidy.framer.ai/about.html	(from https://aidy.framer.ai/)
21:10:54	402531/402531	---M-Z	200	added ('OK')	text/html	etag:%22c56f5b554e25a244400f18a13ee20a21%22	https://aidy.framer.ai/pricing	G:/Offline%20Websites/aidy.framer.ai/aidy.framer.ai/pricing.html	(from https://aidy.framer.ai/)
21:10:56	356920/356920	---M-Z	200	added ('OK')	text/html	etag:%22c0e0ea722307771d5a5b3dae834c42d3%22	https://aidy.framer.ai/contact-us	G:/Offline%20Websites/aidy.framer.ai/aidy.framer.ai/contact-us.html	(from https://aidy.framer.ai/)
21:10:57	248357/248357	---M-Z	404	error ('Not%20Found')	text/html	etag:%228e1d4c1366780d5af00ba2e3ae97ee02%22	https://aidy.framer.ai/[object%20Object]	G:/Offline%20Websites/aidy.framer.ai/aidy.framer.ai/[object%20Object].5.delayed	(from https://aidy.framer.ai/)
21:10:57	161584/161584	---MC-	200	added ('OK')	image/png	etag:%22201897846587a8785677cf903e7aaee9%22	https://framerusercontent.com/images/Cxa6a8GJdp7gEeV8mPpDvPcyYNM.png	G:/Offline%20Websites/aidy.framer.ai/framerusercontent.com/images/Cxa6a8GJdp7gEeV8mPpDvPcyYNM.png	(from https://aidy.framer.ai/)
21:10:58	12920/12920	---MC-	200	added ('OK')	image/png	etag:%222732ded9a49cfeac17c0fb0a472736c8%22	https://framerusercontent.com/images/BejH4d33lDUj4Yj1ICYdqwS8RJA.png	G:/Offline%20Websites/aidy.framer.ai/framerusercontent.com/images/BejH4d33lDUj4Yj1ICYdqwS8RJA.png	(from https://aidy.framer.ai/)
